,make,model
1042,mercury,montego
1043,mercury,monterey
1044,mercury,mountaineer
1045,mercury,mystique
1046,mercury,sable
1047,mercury,topaz
1048,mercury,tracer
1049,mercury,villager
1050,mini,clubman
1051,mini,convertible
1052,mini,cooper
1053,mini,countryman
1054,mini,coupe
1055,mini,hardtop
1056,mini,hardtop 2 door
1057,mini,hardtop 4 door
1058,mini,paceman
1059,mini,roadster
1060,mitsubishi,3000gt
1061,mitsubishi,diamante
1062,mitsubishi,eclipse
1063,mitsubishi,eclipse cross
1064,mitsubishi,endeavor
1065,mitsubishi,expo
1066,mitsubishi,galant
1067,mitsubishi,i-miev
1068,mitsubishi,lancer
1069,mitsubishi,lancer evolution
1070,mitsubishi,mighty max macro cab
1071,mitsubishi,mighty max regular cab
1072,mitsubishi,mirage
1073,mitsubishi,mirage g4
